signal_time,side,entry,stop,target
1761566400,long,152.84,152.47,153.58
1761699600,long,151.9,151.45000000000002,152.8
1762308000,long,153.32,152.97,154.02
1762732800,long,153.86,153.3,154.99
1765861200,long,154.84,154.58,155.36
1767574800,short,157.01,157.28,156.46
1768183200,long,158.05,157.57,159.02
1768813200,short,157.92000000000002,158.27,157.22
1768896000,short,157.82,158.5,156.45000000000002
1769396400,long,154.21,153.85,154.94
1769407200,long,154.24,153.93,154.86
1770591600,short,157.25,157.76,156.23
1770602400,long,156.84,156.53,157.46
1770706800,long,155.56,155.19,156.3
1771599600,short,154.86,155.63,153.32
1772535600,short,157.68,158.07,156.9
1772546400,short,157.72,158.05,157.05
1772553600,short,157.70000000000002,158.03,157.04
1772618400,long,157.29,156.76,158.35
1772647200,long,157.16,156.88,157.72
1772805600,short,157.67000000000002,158.20000000000002,156.61
1773032400,short,158.38,158.88,157.38
1773039600,short,158.46,158.76,157.86
1773046800,short,158.44,158.75,157.82
1773129600,long,157.70000000000002,157.20000000000002,158.70000000000002
1774245600,short,159.47,159.76,158.89000000000001
1774252800,short,159.44,159.76,158.8
1774263600,short,158.93,159.73,157.33
1775026800,long,158.78,158.17000000000002,160.0
1775055600,long,158.63,158.31,159.27
1775581200,short,159.78,160.06,159.22
1775671200,long,158.74,158.28,159.67000000000002
1776308400,long,158.67000000000002,158.17000000000002,159.67000000000002
1780473600,long,159.76,159.27,160.74
1784030400,long,161.91,161.51,162.71
1785308400,long,163.68,163.39000000000001,164.26
